id	filename	md5	size	state
fc8e1704-36a9-4c47-864c-4e86a7e1d541	6042308138_R06C01_Red.idat	dd2795739c076859c8412ac92539048a	8095236	live
6ba7da11-0819-41ae-a4de-9c73907f20b1	6285633036_R05C01_Grn.idat	82c0dafaf98783c16e199845f729865e	8095280	live
4f39066f-e6ec-4c68-abaa-a981335e9ac4	6264488083_R06C01_Red.idat	050193c2e0301291903aa0d24252fc57	8095260	live
8c9632a2-c3f8-4eb2-8ff3-fb24c292ebed	9828653011_R05C01_Red.idat	889764f6e16d8e0078b8ee037ba57d31	8095264	live
a9b8304f-78de-4557-9c47-2c7772ba8e84	9828653011_R04C01_Grn.idat	d1f9f9af1b39e87050608766b5a2a760	8095264	live
b939cfee-feb4-47d8-b6d5-1b0313521918	6285625068_R05C02_Grn.idat	38ad77d887c8a013c19932903e3334c8	8095279	live
3a137b3d-09ec-442e-9b49-4b1f1e86568c	6285633036_R01C01_Grn.idat	090fe2fe449ff10ae8aafc7d38cc4268	8095279	live
97c10e45-cdd8-474c-8980-b848e4a6a1ae	8784241076_R01C01_Grn.idat	8de0b3e838eaa1fab3cb0d2113a79340	8095340	live
1ee3f877-2410-4f3f-a1f4-f980d9fd20ef	8784241063_R01C02_Red.idat	8ecfbfc7d0f763fb24623a9e03143045	8095311	live
46b7c197-0cfd-4f10-a5a7-a0bb28ac97e3	6285633063_R06C02_Red.idat	87c6c4dd916344e60ae91e792152618f	8095228	live
303513de-97d2-4da6-bf41-d9f1e8ec3241	6929742045_R05C02_Grn.idat	d48eb50f1d70d89197a77a6706ecc0eb	8095259	live
5f8a9a8d-4357-426d-9291-bcf83bdedbd6	8784241132_R06C02_Grn.idat	0c1bdf2da7a8396b47212e178c50f481	8095304	live
e18256f4-60da-45c6-943f-283e00fad14c	9828653011_R01C02_Red.idat	27ea54a5945f493fbab813004474481f	8095269	live
f6018dee-3748-4b61-958f-63448edcf3c3	8795194076_R06C01_Grn.idat	d97861bacb5a7dffdce063e638a44c21	8095328	live
ca259fe7-3594-4669-b374-89fdcb5780d0	6285625064_R05C01_Red.idat	1a2ac77c04da81e83b1a4019f44b3294	8095284	live
d54b82bd-ff16-45e6-9d87-a1572236717a	6264488070_R02C02_Grn.idat	77bc06564826fc5542b6905a93aecfca	8095269	live
a05423b9-0970-4bc5-95f1-49db116cac6b	6929671163_R03C01_Grn.idat	9aa3ac0f32275b736e451f88867cc2b3	8095259	live
d4710298-e5b2-4c64-9348-a8bf5e824bde	6929671032_R05C02_Red.idat	93824c5c1a2b3cca2df1e0e836fee41e	8095260	live
3ffc6311-cf72-480a-a610-8cab9d68c3be	6929742075_R05C02_Red.idat	5e044a435c7593aae09eb5b8667e2149	8095265	live
c8000c58-3cb3-461b-a4b4-6f4f3668198b	7786923075_R01C02_Red.idat	7da5b755ccd918de4a2768aa8ef4b6dc	8095271	live
1cb94684-2d7d-4d2f-a20b-c00a10060980	6929671032_R03C01_Red.idat	f4faf97f9966a25a59b58f67d5c8cd4e	8095260	live
05d2bd63-9e2d-4bf0-8717-5a1b0f988071	6285625087_R03C02_Red.idat	86b2f87b1f7df8d7fdbca8145ed64024	8095261	live
21d2c40f-9a7c-46ac-a852-5540f087e4db	8784241110_R05C02_Red.idat	590031d9b96140dfa545d1e3296981e0	8095288	live
473d5f43-6185-446c-b562-2cf3a57b9f30	6285650107_R04C02_Grn.idat	db2cbff5fdc8bb4ebdd2d032b554216a	8095260	live
1ae1c194-222b-4e0e-b78d-54ad89b955d7	6929671122_R05C01_Red.idat	6181344220fced220cea9553de47524f	8095260	live
b6b85f28-5dde-4f83-b944-1158736dddc7	7310440042_R01C02_Red.idat	326b4451cc154b32869fdcd876801ca0	8095268	live
b9e19fa0-4bdb-41a7-9181-f60ea02b1e35	6285625099_R03C02_Grn.idat	107de285ffa32e773cd4f4dd96ff2500	8095252	live
25b371dc-1e1d-44da-a951-e878864d7b56	6285633063_R06C01_Red.idat	6ef2965d5a35ab4f60793a34a4481146	8095233	live
955905e2-816e-4f11-bbdc-7f1da2f4e3f8	8795194077_R04C01_Grn.idat	b84faa3d0170b8e8ba9a8b0c35376082	8095328	live
998dd7a9-498c-4de5-ba54-4db5fffca119	6285650107_R01C02_Grn.idat	a6be9368b75de1bb00db0177055d1780	8095260	live
5d3ff64a-4030-4270-b796-14de546bcb8c	6929742041_R06C02_Red.idat	1fbbaed2ae865b1b7e2b3601ea92f946	8095268	live
819c15e7-33f3-4546-b6ec-6c68499bb05d	6285625076_R03C01_Red.idat	a84a60465cff93829badf33592d350cb	8095260	live
13c28acf-5317-4c56-8efb-f0ffe84004e0	8784241063_R06C01_Grn.idat	e20730a853c0457cf0459e1466e59267	8095307	live
481ee2f3-5e1b-4b89-8f31-5363fcf34161	8795194076_R06C02_Grn.idat	685f6741b1bd8a3ef657159f2d899f1c	8095329	live
99ce65f4-c99f-4576-a5a9-c984254eb91a	9305216009_R05C01_Grn.idat	55935e52b491591a8cccfe05afcbbea6	8095272	live
dce22b90-af65-4691-9efd-4c0b7dccceac	6285633036_R04C02_Grn.idat	2aab9266c0c851d5ea46ae9210b330b1	8095279	live
677b6d42-7ee1-418d-b78b-9f00108be2d6	6929671039_R01C01_Grn.idat	84f65d1cda25819247a850dd3c9823df	8095267	live
f27e60fa-6797-4690-a26e-e6499cb4dcb2	6285625064_R03C02_Red.idat	7c0a4c3e82591aae8ab5954e532a1375	8095278	live
eb8729ee-b8ec-4ce7-bb06-d2751b77d528	6285633036_R01C01_Red.idat	e42c86009412e84e6457d0e957162cf0	8095279	live
27902e63-2d89-4411-b831-8bef32e5a84a	9828653011_R03C01_Grn.idat	87c11c651118b06df7916313e3a7df3c	8095265	live
ffb7b351-397e-4e52-ac0e-77e10d9746e8	6285633036_R06C01_Grn.idat	3dcf7651bb2888c3f7a6a0bfb257cc75	8095280	live
64a85240-7735-4745-8fc2-0497afb2001f	8795194104_R03C01_Red.idat	c693adb8c351d83f140228de90d2e906	8095320	live
73de7efe-bdb0-4738-aa0a-794d1ba5aa79	6929671032_R05C01_Grn.idat	2d77c18e76cbe4bb28323917d85f21cd	8095260	live
1339e944-c635-4ff3-9537-222dfaacf0b7	6264488083_R06C02_Red.idat	d20e5fd7bcd6bcf9328b04d8cffe41f6	8095260	live
e7111acc-2b46-46e8-999b-dcaedbd0b82d	8784241071_R05C02_Red.idat	c5ebb121106b1e62e0a85f4d27717f31	8095282	live
a16e9bb9-2499-41d9-ace2-283a1d47c6dd	6264488026_R06C01_Red.idat	35058201a648e01efa1da11f65cc1c52	8095272	live
cfdbc591-ca20-4d13-a7f5-6dc2d6083cfc	6264488070_R02C01_Grn.idat	7a18678288a1905730e56bd6a4589fb4	8095267	live
2d77049c-3590-47fe-ad39-7efcc665d0f6	6285650107_R04C01_Grn.idat	0de55f532ee301b5754720f1c23eacbe	8095260	live
97894bdf-c9fb-496f-a9b4-235287ccf96b	8784241120_R04C01_Grn.idat	50c6662ee7ffeea26b17327e161e5700	8095292	live
de393686-4cc7-4470-9e94-3fd825729be5	6285625090_R05C01_Grn.idat	13da279add0f31b26e06a21b7a47d895	8095268	live
77970b22-6441-4eaa-b486-e28700cf8b16	6264488070_R04C01_Grn.idat	e8dc3b6a6eb4e5a3abb9fef8a77d14a7	8095264	live
90a9f960-c5db-4310-8ce4-09489f32933b	9828653011_R02C01_Grn.idat	1ff43389181107ad3dbfdbd35837a9ce	8095264	live
7d6f66a3-dedb-4f9d-a27b-d79eb9b1df91	8784241084_R02C01_Red.idat	784925164b1b005108d6de89bd818d77	8095296	live
f8bf149e-6939-4349-9149-d942a00421ad	9828653011_R04C02_Red.idat	7ff193aac13c67479b5935f15eb16b09	8095264	live
c9987723-d9f5-448f-ba1f-2fe91e3d6310	6929671122_R01C02_Grn.idat	947887249135de477d17f9a9482f8347	8095260	live
0fae4c4a-e152-4f9b-9332-98f3f3c6fd78	7786923084_R03C02_Red.idat	507d70adc09c35fbb23917699e7a5b38	8095272	live
2e5367bd-4077-4e88-af8f-c46b0217a10e	8784241084_R05C02_Red.idat	ed21deca09e4dfbede19f8ed9f44f4fe	8095301	live
a20122cd-9650-4d99-bc64-b2fda6e93777	6285625076_R05C02_Red.idat	1e5e19ff8d486bd478f604590a58837a	8095260	live
6ce52e53-d59a-4384-969d-e7e70e58eece	9828653011_R01C02_Grn.idat	c762478dc86d57e0f59a1295c53a0397	8095269	live
a55390c4-29f9-4c3e-8553-157955eb2bd0	6285625072_R06C02_Red.idat	639defcc315ee40d90e98c144f3f104c	8095253	live
cb10721e-e450-4426-aea9-826e341035bd	6042308138_R06C01_Grn.idat	d658bfa60d6e6ae89e48463a59ac7a70	8095236	live
0d06dbfa-3604-4180-8669-89ffc5311e54	8784241135_R05C01_Red.idat	b261aca3cd7d544e1c5cf130de352e12	8095320	live
16e61e45-679b-438e-b8a2-96f9e370c12e	6285633062_R05C01_Red.idat	0b3f217d189cacdfae1178b51d876862	8095228	live
34c3e8d0-4a52-4879-a832-8194b1dc7a7b	6264488067_R04C01_Red.idat	00bd94d59e659320440ed5282fe55b2b	8095272	live
2895ae55-dbc0-4db4-b51c-7803db69fc43	8795194077_R01C01_Grn.idat	41264ae6acb5d4b805856b015933ee25	8095332	live
0c9fe5ef-da22-4d2c-876c-c38b7230777c	6285625099_R06C01_Grn.idat	1e378385b0d32ab632a705abbf50ed8f	8095260	live
89c5814d-9218-4770-9476-9b590ae66a43	7786923075_R03C02_Grn.idat	526c5f51222cf75afb41578be664fb70	8095272	live
1a793a92-226e-4189-9b19-a62c9ccc4e45	8795194104_R02C01_Red.idat	fe01c7b19483055935cf9b58b3aa1c10	8095321	live
64138196-d75e-405a-8f8c-dba153c57b25	6285625070_R03C02_Red.idat	c71095d0f4f9f06680ffc392709383e0	8095254	live
1565dc41-682b-4a07-9fa2-deec01d914d3	6285625072_R03C02_Red.idat	9b41b28afa529f1deead958f07aa1408	8095260	live
2bf58be6-5d5a-446d-9e6b-f9b8d46451d7	6285633020_R05C02_Red.idat	e194a5ba25e7489e55a0eb2fc4bbe7e5	8095273	live
d48411a4-6b63-480d-b44e-73bb6ff6c25a	6929671163_R02C01_Red.idat	3327d9c9c2c7b7cc7b891dc256724d61	8095257	live
17cd6a37-e779-4491-a8fb-db1f8cb2d892	6929671032_R04C01_Red.idat	f0be2f2b2eb998d3c5f1e028a4e952f4	8095260	live
fb73ae2e-ecfc-4726-9631-b4d9f3d4fca2	6285625072_R04C02_Grn.idat	b8209d86371d7fbb771c2fc0d6e7089b	8095257	live
168505b2-9bf5-43df-8563-3162c9d886ce	6285625064_R01C02_Red.idat	9d304deb7d1f391be12d4e61a350cb6b	8095278	live
1eb6e4c5-7775-4b8c-9025-cf55afcfb8bf	8795194076_R06C02_Red.idat	d448835f1c8655718eb0474c91760880	8095329	live
a213b758-3aef-4153-8957-694496b3f532	6264488026_R03C02_Grn.idat	7d1f35b8b8d06b11c8f01aa9ac6f2b11	8095272	live
9b4805ec-ab74-458f-b634-9cef84b0ba5b	6285625090_R02C01_Red.idat	87050b16544f00b9555dc74093585414	8095268	live
57c237c6-2e0a-45ad-b4a7-689e0c60f327	6285633063_R04C01_Grn.idat	67108a440eefca9e38e47c44742504d0	8095228	live
8396b1a6-4451-439c-bc2a-c0455d721c5f	8784241135_R05C01_Grn.idat	c88656bd78d4a9b4e55b2dadedfbf021	8095320	live
2a3b21d0-cee3-4d3e-be39-4a6301e73486	6042316106_R05C01_Grn.idat	b1bba2996db0ce2d20ba4b8399c934ea	8095293	live
cd0fd921-9e97-4934-ae1b-c5f98753f970	6285650107_R04C02_Red.idat	69b04507c873c2b2f027af5c1b21b7ab	8095260	live
e6216082-273b-4cb1-93bc-3696401664fc	6285633062_R04C02_Red.idat	8f89b8d130b2e991a7340007ed1de0ed	8095228	live
64063054-d346-4cf3-a77c-2cd3820b1d29	6042308099_R06C01_Red.idat	7f1be17ce978b4e46f8006bfc2bdc3fe	8095236	live
86a6fa93-6447-42a8-951b-fee2a9868f1e	6929742041_R04C01_Grn.idat	8f5d0413d21e89c44475aece8a80b076	8095268	live
03ddbb26-68ec-4309-af28-30cfaacb266c	6929671122_R01C02_Red.idat	335327adb3adac559edafef3ccce60d9	8095260	live
2755e222-9537-475a-b605-b88f1c39bedb	7786923090_R04C01_Grn.idat	e484f28b54d3db2ceb35d3319163698f	8095276	live
a83e517d-a66b-4d30-8d0a-8fa121de4111	6929742041_R06C02_Grn.idat	607d8fc4f323928659cfe5a1e75542fd	8095268	live
1f4bb4ec-8d46-45e5-b969-e0f458eec991	6929742045_R02C01_Grn.idat	63530dc3f8915a53904694ffea71903e	8095253	live
49338708-c954-4668-b65b-612cd1f2a74f	6042308099_R03C01_Grn.idat	fc83260f38410c2ad6fc85424d7e7e18	8095236	live
68768ec3-79b8-439b-b966-ea48092d9cae	3999510111_R06C01_Red.idat	b61c1df06f89a6b974cf70fa5aae2ecd	8095277	live
b8d7de97-2690-46f1-9b35-e77dc45e5ce0	8784241064_R03C01_Red.idat	fab7d17203c55dc045a7d3b138423fcb	8095316	live
18c4cfce-225a-4f44-8109-7a000c16bb85	6042308138_R06C02_Red.idat	22b2f400bfd1543872ab7f3f96b3a200	8095231	live
0fb81b93-2009-4980-ad2b-1b5b4c286b41	6264488026_R05C02_Grn.idat	d3756b69aea357228af2fec83b49339f	8095284	live
c6c9b569-1fe6-4df6-88c1-678d9c0b0c08	8784241084_R05C01_Red.idat	91e32393baca9621462c9ca0f249c65a	8095303	live
b9b74109-4623-48db-b0f6-e42a088f278c	6929671148_R04C02_Red.idat	e07c5ea6ac0df111bf2330e9115a7e7c	8095258	live
5b557a44-7274-4be7-af83-2b7e31de777e	9305216011_R03C01_Red.idat	2b6dcb2cde9f14657e40452cba36633c	8095281	live
b90dc30c-9e88-460f-8e02-1b486955395a	8784241110_R06C02_Red.idat	52aa909a529371a2d616d9b0209afdaa	8095287	live
aad7b809-2ca6-4be7-a9b4-9b7066d78305	6285625064_R02C01_Red.idat	2d05424ab5dccc64b343646438044947	8095263	live
e749cf58-3544-4c0f-bc7e-3eb09c2f936c	6929671144_R06C01_Grn.idat	398e03462ed6782371290909e5afb1f9	8095259	live
3141360a-e0bb-483d-81a3-9bfd40bd2d0c	6929742041_R03C01_Red.idat	e1c0bb64d0ca3a7a0295942988da4a46	8095268	live
9cef82af-a93e-47c4-877e-e17debd0988d	6264488083_R04C01_Red.idat	b6c70596f46b41a94067089cce456831	8095260	live
006503cc-f969-4f3f-ac1a-dd1653f125a0	6042308138_R02C02_Grn.idat	fc6cb462415cc78bab5e0ebfef862d36	8095228	live
55fea6cd-925c-4af7-9b43-e669fd63b33f	9305216007_R02C02_Grn.idat	916f4e6c82be6993af6d2c5cfc0a9725	8095273	live
717b674f-a77b-4f67-9323-25721b569081	8784241132_R04C02_Red.idat	f003f4e8df10233215e603efb6cb3584	8095305	live
556fe8c7-95ea-49b3-9255-59279a1c7dfd	6929671031_R04C02_Grn.idat	ee2dfbe3c3d074ab38832656d3d6928d	8095268	live
605d1384-60a7-4dce-a30b-0092dede89b6	6929671032_R04C01_Grn.idat	bf7648748e71fc732b2c21c4d8c14551	8095260	live
04c35c9b-5062-45a8-9125-491a0c73f3b9	6285625064_R03C01_Grn.idat	6e13537e8020b4a9e0da8f7e9d4261d2	8095281	live
2befee70-4369-420d-b5fc-a94f0cbd9e31	8784241084_R05C01_Grn.idat	88ceaa50e9dbfd2ce226ee54d2037264	8095303	live
3323f96c-57a8-4feb-b3d3-074886b5d15e	6929742041_R03C02_Grn.idat	7cb68f952ea970f7f30e838ff7c2ac1e	8095268	live
32730757-7297-4d51-ad25-47651f4be01c	6285633062_R01C02_Red.idat	2fcff768ff0c87acfc18ee5a54281a79	8095230	live
d98382f8-a19a-4b81-9d0c-37c64ed0c378	3999510111_R04C01_Red.idat	8a95c605dcf9297df1e5d8f2d7b687a8	8095273	live
c838f8f0-ac55-4745-b782-d8cff7d074f7	6929671039_R02C01_Grn.idat	56ac443db92570ed96e0d6b3f1fd24bc	8095268	live
f721290c-daf9-4753-aac7-f92477ce48e1	8784241064_R02C02_Red.idat	5c85868736e062b02440e6bce66c8ed4	8095342	live
12ce3dc3-ca01-4c46-a921-d9415ba532c0	6042308156_R04C01_Grn.idat	1fb98e9b65b17c33f8e8822e09747e13	8095236	live
c264568b-fcb2-497f-8b6e-3a26991cf61a	6042308156_R02C02_Grn.idat	3d87e32c1bd6297bb5c84b70f1979c1d	8095229	live
28955f79-d280-4a72-9231-b5872b5a3791	6285625072_R01C01_Grn.idat	e25daba062607cc8bb0655bf22cd2d9b	8095254	live
f2eec8ea-204f-4bea-86ff-63367e7bb040	6929671148_R05C02_Grn.idat	8059aabb50615d526de9cb7684a70852	8095252	live
053d8362-bc24-436c-82ae-a0897af982ae	6929671031_R01C02_Red.idat	bfe38c5f96e960ee433fc90c2aab3c59	8095268	live
c6f8a97b-a61f-4905-b7dd-615a46bb35ac	7310440042_R03C01_Grn.idat	2c69c847bc9c54dc64e4415835258d95	8095268	live
d2f47902-9ff0-495b-be3f-1625d50bfa9f	6285625099_R06C02_Red.idat	445ddb570ba5f934e7883e6d1410405a	8095254	live
